"STATISTIC Label","Year","Single Year of Age","Sex","UNIT","VALUE"
"Population estimates from 1926","2016","65 years","Female","Number","21716"
"Population estimates from 1926","2016","66 years","Both sexes","Number","42907"
"Population estimates from 1926","2016","66 years","Male","Number","21091"
"Population estimates from 1926","2016","66 years","Female","Number","21816"
"Population estimates from 1926","2016","67 years","Both sexes","Number","41761"
"Population estimates from 1926","2016","67 years","Male","Number","20756"
"Population estimates from 1926","2016","67 years","Female","Number","21005"
"Population estimates from 1926","2016","68 years","Both sexes","Number","40781"
"Population estimates from 1926","2016","68 years","Male","Number","20365"
"Population estimates from 1926","2016","68 years","Female","Number","20416"
"Population estimates from 1926","2016","69 years","Both sexes","Number","38991"
"Population estimates from 1926","2016","69 years","Male","Number","19412"
"Population estimates from 1926","2016","69 years","Female","Number","19579"
"Population estimates from 1926","2016","70 years","Both sexes","Number","37344"
"Population estimates from 1926","2016","70 years","Male","Number","18440"
"Population estimates from 1926","2016","70 years","Female","Number","18904"
"Population estimates from 1926","2016","71 years","Both sexes","Number","34090"
"Population estimates from 1926","2016","71 years","Male","Number","16763"
"Population estimates from 1926","2016","71 years","Female","Number","17327"
"Population estimates from 1926","2016","72 years","Both sexes","Number","31888"
"Population estimates from 1926","2016","72 years","Male","Number","15668"
"Population estimates from 1926","2016","72 years","Female","Number","16220"
"Population estimates from 1926","2016","73 years","Both sexes","Number","29768"
"Population estimates from 1926","2016","73 years","Male","Number","14391"
"Population estimates from 1926","2016","73 years","Female","Number","15377"
"Population estimates from 1926","2016","74 years","Both sexes","Number","26812"
"Population estimates from 1926","2016","74 years","Male","Number","13088"
"Population estimates from 1926","2016","74 years","Female","Number","13724"
"Population estimates from 1926","2016","75 years","Both sexes","Number","25079"
"Population estimates from 1926","2016","75 years","Male","Number","11993"
"Population estimates from 1926","2016","75 years","Female","Number","13086"
"Population estimates from 1926","2016","76 years","Both sexes","Number","24393"
"Population estimates from 1926","2016","76 years","Male","Number","11594"
"Population estimates from 1926","2016","76 years","Female","Number","12799"
"Population estimates from 1926","2016","77 years","Both sexes","Number","23078"
"Population estimates from 1926","2016","77 years","Male","Number","10770"
"Population estimates from 1926","2016","77 years","Female","Number","12308"
"Population estimates from 1926","2016","78 years","Both sexes","Number","21296"
"Population estimates from 1926","2016","78 years","Male","Number","9872"
"Population estimates from 1926","2016","78 years","Female","Number","11424"
"Population estimates from 1926","2016","79 years","Both sexes","Number","20332"
"Population estimates from 1926","2016","79 years","Male","Number","9289"
"Population estimates from 1926","2016","79 years","Female","Number","11043"
"Population estimates from 1926","2016","80 years","Both sexes","Number","19113"
"Population estimates from 1926","2016","80 years","Male","Number","8596"
"Population estimates from 1926","2016","80 years","Female","Number","10517"
"Population estimates from 1926","2016","81 years","Both sexes","Number","17705"
"Population estimates from 1926","2016","81 years","Male","Number","7788"
"Population estimates from 1926","2016","81 years","Female","Number","9917"
"Population estimates from 1926","2016","82 years","Both sexes","Number","16237"
"Population estimates from 1926","2016","82 years","Male","Number","7018"
"Population estimates from 1926","2016","82 years","Female","Number","9219"
"Population estimates from 1926","2016","83 years","Both sexes","Number","14391"
"Population estimates from 1926","2016","83 years","Male","Number","6166"
"Population estimates from 1926","2016","83 years","Female","Number","8225"
"Population estimates from 1926","2016","84 years","Both sexes","Number","13019"
"Population estimates from 1926","2016","84 years","Male","Number","5364"
"Population estimates from 1926","2016","84 years","Female","Number","7655"
"Population estimates from 1926","2016","85 years","Both sexes","Number","11886"
"Population estimates from 1926","2016","85 years","Male","Number","4831"
"Population estimates from 1926","2016","85 years","Female","Number","7055"
"Population estimates from 1926","2016","86 years","Both sexes","Number","10291"
"Population estimates from 1926","2016","86 years","Male","Number","3951"
"Population estimates from 1926","2016","86 years","Female","Number","6340"
"Population estimates from 1926","2016","87 years","Both sexes","Number","8757"
"Population estimates from 1926","2016","87 years","Male","Number","3163"
"Population estimates from 1926","2016","87 years","Female","Number","5594"
"Population estimates from 1926","2016","88 years","Both sexes","Number","7365"
"Population estimates from 1926","2016","88 years","Male","Number","2557"
"Population estimates from 1926","2016","88 years","Female","Number","4808"
"Population estimates from 1926","2016","89 years","Both sexes","Number","6402"
"Population estimates from 1926","2016","89 years","Male","Number","2116"
"Population estimates from 1926","2016","89 years","Female","Number","4286"
"Population estimates from 1926","2016","90 years","Both sexes","Number","5362"
"Population estimates from 1926","2016","90 years","Male","Number","1667"
"Population estimates from 1926","2016","90 years","Female","Number","3695"
"Population estimates from 1926","2016","91 years","Both sexes","Number","4370"
"Population estimates from 1926","2016","91 years","Male","Number","1321"
"Population estimates from 1926","2016","91 years","Female","Number","3049"
"Population estimates from 1926","2016","92 years","Both sexes","Number","3414"
"Population estimates from 1926","2016","92 years","Male","Number","963"
"Population estimates from 1926","2016","92 years","Female","Number","2451"
"Population estimates from 1926","2016","93 years","Both sexes","Number","2727"
"Population estimates from 1926","2016","93 years","Male","Number","746"
"Population estimates from 1926","2016","93 years","Female","Number","1981"
"Population estimates from 1926","2016","94 years","Both sexes","Number","2061"
"Population estimates from 1926","2016","94 years","Male","Number","523"
"Population estimates from 1926","2016","94 years","Female","Number","1538"
"Population estimates from 1926","2016","95 years","Both sexes","Number","1548"
"Population estimates from 1926","2016","95 years","Male","Number","387"
"Population estimates from 1926","2016","95 years","Female","Number","1161"
"Population estimates from 1926","2016","96 years","Both sexes","Number","1201"
"Population estimates from 1926","2016","96 years","Male","Number","317"
"Population estimates from 1926","2016","96 years","Female","Number","884"
"Population estimates from 1926","2016","97 years","Both sexes","Number","730"
"Population estimates from 1926","2016","97 years","Male","Number","190"
"Population estimates from 1926","2016","97 years","Female","Number","540"
"Population estimates from 1926","2016","98 years","Both sexes","Number","449"
"Population estimates from 1926","2016","98 years","Male","Number","93"
"Population estimates from 1926","2016","98 years","Female","Number","356"
"Population estimates from 1926","2016","99 years and over","Both sexes","Number","770"
"Population estimates from 1926","2016","99 years and over","Male","Number","155"
"Population estimates from 1926","2016","99 years and over","Female","Number","615"
"Population estimates from 1926","2017","All ages","Both sexes","Number","4810895"
"Population estimates from 1926","2017","All ages","Male","Number","2380827"
"Population estimates from 1926","2017","All ages","Female","Number","2430068"
"Population estimates from 1926","2017","Under 1 year","Both sexes","Number","63468"
"Population estimates from 1926","2017","Under 1 year","Male","Number","32433"
"Population estimates from 1926","2017","Under 1 year","Female","Number","31035"
"Population estimates from 1926","2017","1 year","Both sexes","Number","62571"
"Population estimates from 1926","2017","1 year","Male","Number","31975"
"Population estimates from 1926","2017","1 year","Female","Number","30596"
"Population estimates from 1926","2017","2 years","Both sexes","Number","64147"
"Population estimates from 1926","2017","2 years","Male","Number","32823"
"Population estimates from 1926","2017","2 years","Female","Number","31324"
"Population estimates from 1926","2017","3 years","Both sexes","Number","66505"
"Population estimates from 1926","2017","3 years","Male","Number","34090"
"Population estimates from 1926","2017","3 years","Female","Number","32415"
"Population estimates from 1926","2017","4 years","Both sexes","Number","68282"
"Population estimates from 1926","2017","4 years","Male","Number","34837"
"Population estimates from 1926","2017","4 years","Female","Number","33445"
"Population estimates from 1926","2017","5 years","Both sexes","Number","71153"
"Population estimates from 1926","2017","5 years","Male","Number","36390"
"Population estimates from 1926","2017","5 years","Female","Number","34763"
"Population estimates from 1926","2017","6 years","Both sexes","Number","72699"
"Population estimates from 1926","2017","6 years","Male","Number","36986"
"Population estimates from 1926","2017","6 years","Female","Number","35713"
"Population estimates from 1926","2017","7 years","Both sexes","Number","72781"
"Population estimates from 1926","2017","7 years","Male","Number","37208"
"Population estimates from 1926","2017","7 years","Female","Number","35573"
"Population estimates from 1926","2017","8 years","Both sexes","Number","72408"
"Population estimates from 1926","2017","8 years","Male","Number","36958"
"Population estimates from 1926","2017","8 years","Female","Number","35450"
"Population estimates from 1926","2017","9 years","Both sexes","Number","71678"
"Population estimates from 1926","2017","9 years","Male","Number","36477"
"Population estimates from 1926","2017","9 years","Female","Number","35201"
"Population estimates from 1926","2017","10 years","Both sexes","Number","67214"
"Population estimates from 1926","2017","10 years","Male","Number","34449"
"Population estimates from 1926","2017","10 years","Female","Number","32765"
"Population estimates from 1926","2017","11 years","Both sexes","Number","64979"
"Population estimates from 1926","2017","11 years","Male","Number","33264"
"Population estimates from 1926","2017","11 years","Female","Number","31715"
"Population estimates from 1926","2017","12 years","Both sexes","Number","64341"
"Population estimates from 1926","2017","12 years","Male","Number","33207"
"Population estimates from 1926","2017","12 years","Female","Number","31134"
"Population estimates from 1926","2017","13 years","Both sexes","Number","64587"
"Population estimates from 1926","2017","13 years","Male","Number","32991"
"Population estimates from 1926","2017","13 years","Female","Number","31596"
"Population estimates from 1926","2017","14 years","Both sexes","Number","63543"
"Population estimates from 1926","2017","14 years","Male","Number","32309"
"Population estimates from 1926","2017","14 years","Female","Number","31234"
"Population estimates from 1926","2017","15 years","Both sexes","Number","63066"
"Population estimates from 1926","2017","15 years","Male","Number","32053"
"Population estimates from 1926","2017","15 years","Female","Number","31013"
"Population estimates from 1926","2017","16 years","Both sexes","Number","61725"
"Population estimates from 1926","2017","16 years","Male","Number","31420"
"Population estimates from 1926","2017","16 years","Female","Number","30305"
"Population estimates from 1926","2017","17 years","Both sexes","Number","61562"
"Population estimates from 1926","2017","17 years","Male","Number","31464"
"Population estimates from 1926","2017","17 years","Female","Number","30098"
"Population estimates from 1926","2017","18 years","Both sexes","Number","61681"
"Population estimates from 1926","2017","18 years","Male","Number","31628"
"Population estimates from 1926","2017","18 years","Female","Number","30053"
"Population estimates from 1926","2017","19 years","Both sexes","Number","61559"
"Population estimates from 1926","2017","19 years","Male","Number","31534"
"Population estimates from 1926","2017","19 years","Female","Number","30025"
"Population estimates from 1926","2017","20 years","Both sexes","Number","57926"
"Population estimates from 1926","2017","20 years","Male","Number","29570"
"Population estimates from 1926","2017","20 years","Female","Number","28356"
"Population estimates from 1926","2017","21 years","Both sexes","Number","56290"
"Population estimates from 1926","2017","21 years","Male","Number","28633"
"Population estimates from 1926","2017","21 years","Female","Number","27657"
"Population estimates from 1926","2017","22 years","Both sexes","Number","54735"
"Population estimates from 1926","2017","22 years","Male","Number","27784"
"Population estimates from 1926","2017","22 years","Female","Number","26951"
"Population estimates from 1926","2017","23 years","Both sexes","Number","54318"
"Population estimates from 1926","2017","23 years","Male","Number","27440"
"Population estimates from 1926","2017","23 years","Female","Number","26878"
"Population estimates from 1926","2017","24 years","Both sexes","Number","54152"
"Population estimates from 1926","2017","24 years","Male","Number","27507"
"Population estimates from 1926","2017","24 years","Female","Number","26645"
"Population estimates from 1926","2017","25 years","Both sexes","Number","55652"
"Population estimates from 1926","2017","25 years","Male","Number","27776"
"Population estimates from 1926","2017","25 years","Female","Number","27876"
"Population estimates from 1926","2017","26 years","Both sexes","Number","58360"
"Population estimates from 1926","2017","26 years","Male","Number","29448"
"Population estimates from 1926","2017","26 years","Female","Number","28912"
"Population estimates from 1926","2017","27 years","Both sexes","Number","57274"
"Population estimates from 1926","2017","27 years","Male","Number","28337"
"Population estimates from 1926","2017","27 years","Female","Number","28937"
"Population estimates from 1926","2017","28 years","Both sexes","Number","62394"
"Population estimates from 1926","2017","28 years","Male","Number","30667"
"Population estimates from 1926","2017","28 years","Female","Number","31727"
"Population estimates from 1926","2017","29 years","Both sexes","Number","60281"
"Population estimates from 1926","2017","29 years","Male","Number","28985"
"Population estimates from 1926","2017","29 years","Female","Number","31296"
"Population estimates from 1926","2017","30 years","Both sexes","Number","63480"
"Population estimates from 1926","2017","30 years","Male","Number","30451"
"Population estimates from 1926","2017","30 years","Female","Number","33029"
"Population estimates from 1926","2017","31 years","Both sexes","Number","68624"
"Population estimates from 1926","2017","31 years","Male","Number","32929"
"Population estimates from 1926","2017","31 years","Female","Number","35695"
"Population estimates from 1926","2017","32 years","Both sexes","Number","68760"
"Population estimates from 1926","2017","32 years","Male","Number","33052"
"Population estimates from 1926","2017","32 years","Female","Number","35708"
"Population estimates from 1926","2017","33 years","Both sexes","Number","72173"
"Population estimates from 1926","2017","33 years","Male","Number","34470"
"Population estimates from 1926","2017","33 years","Female","Number","37703"
"Population estimates from 1926","2017","34 years","Both sexes","Number","76134"
"Population estimates from 1926","2017","34 years","Male","Number","36215"
"Population estimates from 1926","2017","34 years","Female","Number","39919"
"Population estimates from 1926","2017","35 years","Both sexes","Number","78034"
"Population estimates from 1926","2017","35 years","Male","Number","37477"
"Population estimates from 1926","2017","35 years","Female","Number","40557"
"Population estimates from 1926","2017","36 years","Both sexes","Number","81839"
"Population estimates from 1926","2017","36 years","Male","Number","39980"
"Population estimates from 1926","2017","36 years","Female","Number","41859"
"Population estimates from 1926","2017","37 years","Both sexes","Number","83552"
"Population estimates from 1926","2017","37 years","Male","Number","41061"
"Population estimates from 1926","2017","37 years","Female","Number","42491"
"Population estimates from 1926","2017","38 years","Both sexes","Number","77683"
"Population estimates from 1926","2017","38 years","Male","Number","37737"
"Population estimates from 1926","2017","38 years","Female","Number","39946"
"Population estimates from 1926","2017","39 years","Both sexes","Number","75015"
"Population estimates from 1926","2017","39 years","Male","Number","36912"
"Population estimates from 1926","2017","39 years","Female","Number","38103"
"Population estimates from 1926","2017","40 years","Both sexes","Number","73290"
"Population estimates from 1926","2017","40 years","Male","Number","36111"
"Population estimates from 1926","2017","40 years","Female","Number","37179"
"Population estimates from 1926","2017","41 years","Both sexes","Number","73987"
"Population estimates from 1926","2017","41 years","Male","Number","36725"
"Population estimates from 1926","2017","41 years","Female","Number","37262"
"Population estimates from 1926","2017","42 years","Both sexes","Number","72709"
"Population estimates from 1926","2017","42 years","Male","Number","35985"
"Population estimates from 1926","2017","42 years","Female","Number","36724"
"Population estimates from 1926","2017","43 years","Both sexes","Number","72018"
"Population estimates from 1926","2017","43 years","Male","Number","35636"
"Population estimates from 1926","2017","43 years","Female","Number","36382"
"Population estimates from 1926","2017","44 years","Both sexes","Number","71997"
"Population estimates from 1926","2017","44 years","Male","Number","35788"
"Population estimates from 1926","2017","44 years","Female","Number","36209"
"Population estimates from 1926","2017","45 years","Both sexes","Number","70140"
"Population estimates from 1926","2017","45 years","Male","Number","34862"
"Population estimates from 1926","2017","45 years","Female","Number","35278"
"Population estimates from 1926","2017","46 years","Both sexes","Number","70447"
"Population estimates from 1926","2017","46 years","Male","Number","35196"
"Population estimates from 1926","2017","46 years","Female","Number","35251"
"Population estimates from 1926","2017","47 years","Both sexes","Number","67197"
"Population estimates from 1926","2017","47 years","Male","Number","33529"
"Population estimates from 1926","2017","47 years","Female","Number","33668"
"Population estimates from 1926","2017","48 years","Both sexes","Number","63785"
"Population estimates from 1926","2017","48 years","Male","Number","32043"
"Population estimates from 1926","2017","48 years","Female","Number","31742"
"Population estimates from 1926","2017","49 years","Both sexes","Number","63013"
"Population estimates from 1926","2017","49 years","Male","Number","31345"
"Population estimates from 1926","2017","49 years","Female","Number","31668"
"Population estimates from 1926","2017","50 years","Both sexes","Number","61813"
"Population estimates from 1926","2017","50 years","Male","Number","30805"
"Population estimates from 1926","2017","50 years","Female","Number","31008"
"Population estimates from 1926","2017","51 years","Both sexes","Number","61986"
"Population estimates from 1926","2017","51 years","Male","Number","30755"
"Population estimates from 1926","2017","51 years","Female","Number","31231"
"Population estimates from 1926","2017","52 years","Both sexes","Number","61735"
"Population estimates from 1926","2017","52 years","Male","Number","30447"
"Population estimates from 1926","2017","52 years","Female","Number","31288"
"Population estimates from 1926","2017","53 years","Both sexes","Number","60178"
"Population estimates from 1926","2017","53 years","Male","Number","29650"
"Population estimates from 1926","2017","53 years","Female","Number","30528"
"Population estimates from 1926","2017","54 years","Both sexes","Number","58823"
"Population estimates from 1926","2017","54 years","Male","Number","28981"
"Population estimates from 1926","2017","54 years","Female","Number","29842"
"Population estimates from 1926","2017","55 years","Both sexes","Number","56927"
"Population estimates from 1926","2017","55 years","Male","Number","28255"
"Population estimates from 1926","2017","55 years","Female","Number","28672"
"Population estimates from 1926","2017","56 years","Both sexes","Number","57071"
"Population estimates from 1926","2017","56 years","Male","Number","28221"
"Population estimates from 1926","2017","56 years","Female","Number","28850"
"Population estimates from 1926","2017","57 years","Both sexes","Number","54760"
"Population estimates from 1926","2017","57 years","Male","Number","26962"
"Population estimates from 1926","2017","57 years","Female","Number","27798"
"Population estimates from 1926","2017","58 years","Both sexes","Number","54304"
"Population estimates from 1926","2017","58 years","Male","Number","27101"
"Population estimates from 1926","2017","58 years","Female","Number","27203"
"Population estimates from 1926","2017","59 years","Both sexes","Number","52178"
"Population estimates from 1926","2017","59 years","Male","Number","25754"
"Population estimates from 1926","2017","59 years","Female","Number","26424"
"Population estimates from 1926","2017","60 years","Both sexes","Number","50871"
"Population estimates from 1926","2017","60 years","Male","Number","25306"
"Population estimates from 1926","2017","60 years","Female","Number","25565"
"Population estimates from 1926","2017","61 years","Both sexes","Number","49587"
"Population estimates from 1926","2017","61 years","Male","Number","24641"
"Population estimates from 1926","2017","61 years","Female","Number","24946"
"Population estimates from 1926","2017","62 years","Both sexes","Number","49000"
"Population estimates from 1926","2017","62 years","Male","Number","24281"
"Population estimates from 1926","2017","62 years","Female","Number","24719"
"Population estimates from 1926","2017","63 years","Both sexes","Number","46950"
"Population estimates from 1926","2017","63 years","Male","Number","23357"
"Population estimates from 1926","2017","63 years","Female","Number","23593"
"Population estimates from 1926","2017","64 years","Both sexes","Number","47096"
"Population estimates from 1926","2017","64 years","Male","Number","23405"
"Population estimates from 1926","2017","64 years","Female","Number","23691"
"Population estimates from 1926","2017","65 years","Both sexes","Number","44340"
"Population estimates from 1926","2017","65 years","Male","Number","22066"
"Population estimates from 1926","2017","65 years","Female","Number","22274"
"Population estimates from 1926","2017","66 years","Both sexes","Number","43732"
"Population estimates from 1926","2017","66 years","Male","Number","21773"
"Population estimates from 1926","2017","66 years","Female","Number","21959"
"Population estimates from 1926","2017","67 years","Both sexes","Number","42598"
"Population estimates from 1926","2017","67 years","Male","Number","20905"
"Population estimates from 1926","2017","67 years","Female","Number","21693"
"Population estimates from 1926","2017","68 years","Both sexes","Number","41560"
"Population estimates from 1926","2017","68 years","Male","Number","20662"
"Population estimates from 1926","2017","68 years","Female","Number","20898"
"Population estimates from 1926","2017","69 years","Both sexes","Number","40434"
"Population estimates from 1926","2017","69 years","Male","Number","20119"
"Population estimates from 1926","2017","69 years","Female","Number","20315"
"Population estimates from 1926","2017","70 years","Both sexes","Number","38573"
"Population estimates from 1926","2017","70 years","Male","Number","19110"
"Population estimates from 1926","2017","70 years","Female","Number","19463"
"Population estimates from 1926","2017","71 years","Both sexes","Number","36977"
"Population estimates from 1926","2017","71 years","Male","Number","18095"
"Population estimates from 1926","2017","71 years","Female","Number","18882"
"Population estimates from 1926","2017","72 years","Both sexes","Number","33614"
"Population estimates from 1926","2017","72 years","Male","Number","16473"
"Population estimates from 1926","2017","72 years","Female","Number","17141"
"Population estimates from 1926","2017","73 years","Both sexes","Number","31537"
"Population estimates from 1926","2017","73 years","Male","Number","15498"
"Population estimates from 1926","2017","73 years","Female","Number","16039"
"Population estimates from 1926","2017","74 years","Both sexes","Number","29382"
"Population estimates from 1926","2017","74 years","Male","Number","14164"
"Population estimates from 1926","2017","74 years","Female","Number","15218"
"Population estimates from 1926","2017","75 years","Both sexes","Number","26221"
"Population estimates from 1926","2017","75 years","Male","Number","12735"
"Population estimates from 1926","2017","75 years","Female","Number","13486"
"Population estimates from 1926","2017","76 years","Both sexes","Number","24352"
"Population estimates from 1926","2017","76 years","Male","Number","11560"
"Population estimates from 1926","2017","76 years","Female","Number","12792"
"Population estimates from 1926","2017","77 years","Both sexes","Number","23637"
"Population estimates from 1926","2017","77 years","Male","Number","11179"
"Population estimates from 1926","2017","77 years","Female","Number","12458"
"Population estimates from 1926","2017","78 years","Both sexes","Number","22327"
"Population estimates from 1926","2017","78 years","Male","Number","10347"
"Population estimates from 1926","2017","78 years","Female","Number","11980"
"Population estimates from 1926","2017","79 years","Both sexes","Number","20811"
"Population estimates from 1926","2017","79 years","Male","Number","9495"
"Population estimates from 1926","2017","79 years","Female","Number","11316"
"Population estimates from 1926","2017","80 years","Both sexes","Number","19379"
"Population estimates from 1926","2017","80 years","Male","Number","8767"
"Population estimates from 1926","2017","80 years","Female","Number","10612"
"Population estimates from 1926","2017","81 years","Both sexes","Number","18098"
"Population estimates from 1926","2017","81 years","Male","Number","8056"
"Population estimates from 1926","2017","81 years","Female","Number","10042"
"Population estimates from 1926","2017","82 years","Both sexes","Number","16740"
"Population estimates from 1926","2017","82 years","Male","Number","7273"
"Population estimates from 1926","2017","82 years","Female","Number","9467"
"Population estimates from 1926","2017","83 years","Both sexes","Number","15382"
"Population estimates from 1926","2017","83 years","Male","Number","6566"
"Population estimates from 1926","2017","83 years","Female","Number","8816"
"Population estimates from 1926","2017","84 years","Both sexes","Number","13604"
"Population estimates from 1926","2017","84 years","Male","Number","5764"
"Population estimates from 1926","2017","84 years","Female","Number","7840"
"Population estimates from 1926","2017","85 years","Both sexes","Number","11980"
"Population estimates from 1926","2017","85 years","Male","Number","4844"
"Population estimates from 1926","2017","85 years","Female","Number","7136"
"Population estimates from 1926","2017","86 years","Both sexes","Number","10632"
"Population estimates from 1926","2017","86 years","Male","Number","4277"
"Population estimates from 1926","2017","86 years","Female","Number","6355"
"Population estimates from 1926","2017","87 years","Both sexes","Number","9261"
"Population estimates from 1926","2017","87 years","Male","Number","3490"
"Population estimates from 1926","2017","87 years","Female","Number","5771"
"Population estimates from 1926","2017","88 years","Both sexes","Number","7830"
"Population estimates from 1926","2017","88 years","Male","Number","2755"
"Population estimates from 1926","2017","88 years","Female","Number","5075"
"Population estimates from 1926","2017","89 years","Both sexes","Number","6644"
"Population estimates from 1926","2017","89 years","Male","Number","2268"
"Population estimates from 1926","2017","89 years","Female","Number","4376"
"Population estimates from 1926","2017","90 years","Both sexes","Number","5331"
"Population estimates from 1926","2017","90 years","Male","Number","1723"
"Population estimates from 1926","2017","90 years","Female","Number","3608"
"Population estimates from 1926","2017","91 years","Both sexes","Number","4352"
"Population estimates from 1926","2017","91 years","Male","Number","1318"
"Population estimates from 1926","2017","91 years","Female","Number","3034"
"Population estimates from 1926","2017","92 years","Both sexes","Number","3522"
"Population estimates from 1926","2017","92 years","Male","Number","1028"
"Population estimates from 1926","2017","92 years","Female","Number","2494"
"Population estimates from 1926","2017","93 years","Both sexes","Number","2781"
"Population estimates from 1926","2017","93 years","Male","Number","759"
"Population estimates from 1926","2017","93 years","Female","Number","2022"
"Population estimates from 1926","2017","94 years","Both sexes","Number","2171"
"Population estimates from 1926","2017","94 years","Male","Number","578"
"Population estimates from 1926","2017","94 years","Female","Number","1593"
"Population estimates from 1926","2017","95 years","Both sexes","Number","1392"
"Population estimates from 1926","2017","95 years","Male","Number","339"
"Population estimates from 1926","2017","95 years","Female","Number","1053"
"Population estimates from 1926","2017","96 years","Both sexes","Number","785"
"Population estimates from 1926","2017","96 years","Male","Number","184"
"Population estimates from 1926","2017","96 years","Female","Number","601"
"Population estimates from 1926","2017","97 years","Both sexes","Number","732"
"Population estimates from 1926","2017","97 years","Male","Number","174"
"Population estimates from 1926","2017","97 years","Female","Number","558"
"Population estimates from 1926","2017","98 years","Both sexes","Number","637"
"Population estimates from 1926","2017","98 years","Male","Number","174"
"Population estimates from 1926","2017","98 years","Female","Number","463"
"Population estimates from 1926","2017","99 years and over","Both sexes","Number","1060"
"Population estimates from 1926","2017","99 years and over","Male","Number","241"
"Population estimates from 1926","2017","99 years and over","Female","Number","819"
"Population estimates from 1926","2018","All ages","Both sexes","Number","4884896"
"Population estimates from 1926","2018","All ages","Male","Number","2419506"
"Population estimates from 1926","2018","All ages","Female","Number","2465390"
"Population estimates from 1926","2018","Under 1 year","Both sexes","Number","61719"
"Population estimates from 1926","2018","Under 1 year","Male","Number","31689"
"Population estimates from 1926","2018","Under 1 year","Female","Number","30030"
"Population estimates from 1926","2018","1 year","Both sexes","Number","63885"
"Population estimates from 1926","2018","1 year","Male","Number","32633"
"Population estimates from 1926","2018","1 year","Female","Number","31252"
"Population estimates from 1926","2018","2 years","Both sexes","Number","63066"
"Population estimates from 1926","2018","2 years","Male","Number","32263"
"Population estimates from 1926","2018","2 years","Female","Number","30803"
"Population estimates from 1926","2018","3 years","Both sexes","Number","64488"
"Population estimates from 1926","2018","3 years","Male","Number","32998"
"Population estimates from 1926","2018","3 years","Female","Number","31490"
"Population estimates from 1926","2018","4 years","Both sexes","Number","66883"
"Population estimates from 1926","2018","4 years","Male","Number","34309"
"Population estimates from 1926","2018","4 years","Female","Number","32574"
"Population estimates from 1926","2018","5 years","Both sexes","Number","68946"
"Population estimates from 1926","2018","5 years","Male","Number","35296"
"Population estimates from 1926","2018","5 years","Female","Number","33650"
"Population estimates from 1926","2018","6 years","Both sexes","Number","71561"
"Population estimates from 1926","2018","6 years","Male","Number","36642"
"Population estimates from 1926","2018","6 years","Female","Number","34919"
"Population estimates from 1926","2018","7 years","Both sexes","Number","73081"
"Population estimates from 1926","2018","7 years","Male","Number","37204"
"Population estimates from 1926","2018","7 years","Female","Number","35877"
"Population estimates from 1926","2018","8 years","Both sexes","Number","73180"
"Population estimates from 1926","2018","8 years","Male","Number","37472"
"Population estimates from 1926","2018","8 years","Female","Number","35708"
"Population estimates from 1926","2018","9 years","Both sexes","Number","72855"
"Population estimates from 1926","2018","9 years","Male","Number","37250"
"Population estimates from 1926","2018","9 years","Female","Number","35605"
"Population estimates from 1926","2018","10 years","Both sexes","Number","72085"
"Population estimates from 1926","2018","10 years","Male","Number","36709"
"Population estimates from 1926","2018","10 years","Female","Number","35376"
"Population estimates from 1926","2018","11 years","Both sexes","Number","67626"
"Population estimates from 1926","2018","11 years","Male","Number","34704"
"Population estimates from 1926","2018","11 years","Female","Number","32922"
"Population estimates from 1926","2018","12 years","Both sexes","Number","65404"
"Population estimates from 1926","2018","12 years","Male","Number","33525"
"Population estimates from 1926","2018","12 years","Female","Number","31879"
"Population estimates from 1926","2018","13 years","Both sexes","Number","64768"
"Population estimates from 1926","2018","13 years","Male","Number","33454"
"Population estimates from 1926","2018","13 years","Female","Number","31314"
"Population estimates from 1926","2018","14 years","Both sexes","Number","64883"
"Population estimates from 1926","2018","14 years","Male","Number","33181"
"Population estimates from 1926","2018","14 years","Female","Number","31702"
"Population estimates from 1926","2018","15 years","Both sexes","Number","64590"
"Population estimates from 1926","2018","15 years","Male","Number","32803"
"Population estimates from 1926","2018","15 years","Female","Number","31787"
"Population estimates from 1926","2018","16 years","Both sexes","Number","64410"
"Population estimates from 1926","2018","16 years","Male","Number","32714"
"Population estimates from 1926","2018","16 years","Female","Number","31696"
"Population estimates from 1926","2018","17 years","Both sexes","Number","63025"
"Population estimates from 1926","2018","17 years","Male","Number","32098"
"Population estimates from 1926","2018","17 years","Female","Number","30927"
"Population estimates from 1926","2018","18 years","Both sexes","Number","62931"
"Population estimates from 1926","2018","18 years","Male","Number","32132"
"Population estimates from 1926","2018","18 years","Female","Number","30799"
"Population estimates from 1926","2018","19 years","Both sexes","Number","63133"
"Population estimates from 1926","2018","19 years","Male","Number","32381"
"Population estimates from 1926","2018","19 years","Female","Number","30752"
"Population estimates from 1926","2018","20 years","Both sexes","Number","62867"
"Population estimates from 1926","2018","20 years","Male","Number","32196"
"Population estimates from 1926","2018","20 years","Female","Number","30671"
"Population estimates from 1926","2018","21 years","Both sexes","Number","59299"
"Population estimates from 1926","2018","21 years","Male","Number","30313"
"Population estimates from 1926","2018","21 years","Female","Number","28986"
"Population estimates from 1926","2018","22 years","Both sexes","Number","57507"
"Population estimates from 1926","2018","22 years","Male","Number","29297"
"Population estimates from 1926","2018","22 years","Female","Number","28210"
"Population estimates from 1926","2018","23 years","Both sexes","Number","55975"
"Population estimates from 1926","2018","23 years","Male","Number","28466"
"Population estimates from 1926","2018","23 years","Female","Number","27509"
